Year,Month,Cost,Clicks,Impr.,CPC,CTR,Date,MoM_Cost_Change,MoM_Clicks_Change
2021,1,14704.12,35298.0,362238.0,0.4165709105331747,9.74,2021-01-01,,
2021,2,14417.37,31320.0,266177.0,0.4603247126436782,11.77,2021-02-01,-0.019501337040230937,-0.11269760326364098
2021,3,17015.18,36694.0,359623.0,0.46370469286531857,10.2,2021-03-01,0.1801861227117012,0.17158365261813535
2021,4,20799.6,42823.0,389425.0,0.4857109497232795,11.0,2021-04-01,0.22241433825560453,0.16703003215784595
2021,5,15546.6,30229.0,328758.0,0.5142942207813689,9.19,2021-05-01,-0.25255293371026355,-0.2940942951217803
2021,6,17890.07,42198.0,357839.0,0.4239554007298924,11.79,2021-06-01,0.1507384251218915,0.39594429190512415
2021,7,21247.44,57338.0,442220.0,0.3705647214761589,12.97,2021-07-01,0.18766667765972955,0.3587847765296934
2021,8,24122.15,60731.0,490402.0,0.3971966540975779,12.38,2021-08-01,0.13529676986968786,0.059175415954515254
2021,9,25373.93,61548.0,564992.0,0.41226246181841814,10.89,2021-09-01,0.05189338429617596,0.013452767120580855
2021,10,27043.32,62443.0,436358.0,0.4330880963438656,14.31,2021-10-01,0.0657915427369744,0.014541496068109394
2021,11,31352.82,66781.0,471638.0,0.46948712957278266,14.16,2021-11-01,0.15935543417006492,0.06947135787838499
2021,12,36009.7,69060.0,470121.0,0.5214262959745148,14.69,2021-12-01,0.14853145586266225,0.03412647309863592
2022,1,35615.68,73254.0,514042.0,0.4861943375105796,14.25,2022-01-01,-0.010942051724951773,0.06072980017376195
2022,2,34002.76,66257.0,485430.0,0.5131949831715894,13.65,2022-02-01,-0.045286795029604865,-0.09551696835667678
2022,3,46514.65,87248.0,598060.0,0.5331314184852375,14.59,2022-03-01,0.3679668944520973,0.31681180856362356
2022,4,41303.78,79052.0,559841.0,0.5224887415878156,14.12,2022-04-01,-0.11202642608296531,-0.09393911608289018
2022,5,37572.79,76280.0,642775.0,0.4925641059255375,11.87,2022-05-01,-0.09033047338524458,-0.035065526488893384
2022,6,38169.74,75619.0,573131.0,0.5047638820931247,13.19,2022-06-01,0.015887827334621685,-0.008665443104352355
2022,7,40833.5,85330.0,640709.0,0.47853627094808393,13.32,2022-07-01,0.0697872188807156,0.12842010605800125
2022,8,39719.02,95272.0,1456093.0,0.41690129313964225,6.54,2022-08-01,-0.02729327635397416,0.11651236376420959
2022,9,40413.15,103542.0,2588390.0,0.3903068320101988,4.0,2022-09-01,0.017476010233888006,0.08680409774120412
2022,10,44322.15,102938.0,1862954.0,0.43057131477199867,5.53,2022-10-01,0.09672594192731832,-0.005833381622916356
2022,11,68230.79,120598.0,3358769.0,0.5657704937063632,3.59,2022-11-01,0.5394287055118037,0.17155957955274048
2022,12,59228.11,112465.0,2993246.0,0.5266359311785889,3.76,2022-12-01,-0.13194453706310583,-0.06743892933547824
2023,1,71178.08,137258.0,4638419.0,0.5185714493872853,2.96,2023-01-01,0.20176179857841148,0.2204508069177078
2023,2,56597.93,122597.0,3589805.0,0.461658360318768,3.42,2023-02-01,-0.20484045088038338,-0.10681344621078548
2023,3,72658.04,137723.0,5325996.0,0.527566492161803,2.59,2023-03-01,0.2837579042201719,0.12337985431943688
2023,4,75598.62,132785.0,5275014.0,0.5693310238355236,2.52,2023-04-01,0.040471501846182534,-0.03585457766676592
2023,5,65085.29,114894.0,4345887.0,0.5664811913589918,2.64,2023-05-01,-0.13906775017850848,-0.13473660428512257
2023,6,54678.87,102061.0,2966699.0,0.5357469552522511,3.44,2023-06-01,-0.15988897030342797,-0.11169425731543858
2023,7,53137.71,109405.0,2777110.0,0.48569727160550247,3.94,2023-07-01,-0.02818565928666783,0.07195696691194486
2023,8,78476.27,131650.0,3506780.0,0.5960977592100266,3.75,2023-08-01,0.4768470451587019,0.20332708742744843
2023,9,74761.25,120590.0,3237274.0,0.6199622688448462,3.73,2023-09-01,-0.04733940591213115,-0.084010634257501
2023,10,76249.58,148329.0,3366519.0,0.5140571297588469,4.41,2023-10-01,0.019907773077630475,0.23002736545318858
2023,11,89591.67,163940.0,4403938.0,0.5464906063193852,3.72,2023-11-01,0.1749791933280156,0.1052457712247774
2023,12,71986.45,149076.0,4413276.0,0.48288423354530574,3.38,2023-12-01,-0.19650509919058323,-0.09066731731121147
2024,1,72640.95,161879.0,4223322.0,0.4487360930077403,3.83,2024-01-01,0.009091988839566412,0.08588236872467725
2024,2,69539.16,164170.0,3741858.0,0.423580191265152,4.39,2024-02-01,-0.0427002950814932,0.014152546037472513
2024,3,70999.64,153223.0,3211886.0,0.46337455864981103,4.77,2024-03-01,0.021002266924132984,-0.06668087957604918
2024,4,66141.17,135359.0,3584601.0,0.4886351849526075,3.78,2024-04-01,-0.068429501896066,-0.11658824066882911
2024,5,75513.99,134579.0,4317858.0,0.5611127293262693,3.12,2024-05-01,0.14170931660265462,-0.005762453918838006
2024,6,62121.33,123211.0,3969074.0,0.5041865580183588,3.1,2024-06-01,-0.1773533619399531,-0.08447083125896315
2024,7,74242.79,133124.0,4519389.0,0.5576965085183738,2.95,2024-07-01,0.19512557120074514,0.08045547881276827
2024,8,68622.71,131745.0,4644514.0,0.520875251432692,2.84,2024-08-01,-0.07569866380290913,-0.010358763258315529
2024,9,61914.52,133701.0,4078345.0,0.4630819515186872,3.28,2024-09-01,-0.09775466460010118,0.014846863258567655
2024,10,80202.93,155917.0,5168023.0,0.5143950306894052,3.02,2024-10-01,0.29538160030958815,0.16616180881220033
2024,11,74655.3,150194.0,4045549.0,0.49705913684967445,3.71,2024-11-01,-0.0691699168596458,-0.036705426605180946
2024,12,79955.4,152542.0,4681506.0,0.524153347930406,3.26,2024-12-01,0.0709942897557172,0.015633114505239964
2025,1,73595.93,154346.0,4354768.0,0.4768243427105334,3.54,2025-01-01,-0.07953771727738213,0.011826251130836019
